#,Player,Group,Team,Mat,Inns,Overs,Runs,Wkts,BBF,Mdns,dots,Econ,Avg,SR,Hat-trick,4w,5w,Wides,Nb,Points
19,Bikash Ghibila,B,Top Guns,13,12,39.1,235,25,22/ 5,0,121,6.00,9.40,9.4,0,1,1,23,0,578
20,Gautam Ahuja,D,Jersey City Dominators,13,13,49.2,299,25,10/ 4,2,169,6.06,11.96,11.8,0,3,0,29,1,607
21,Sunit Shirke,D,Jersey City Dominators,12,12,44.2,269,25,18/ 4,2,159,6.07,10.76,10.6,0,2,0,24,6,607
22,Danish Shaikh,C,Mystery Squad,15,15,46.0,282,25,11/ 4,0,157,6.13,11.28,11.0,0,2,0,10,5,579
23,Bhadresh Patel,D,Cricket Warriors,14,14,51.1,316,25,20/ 4,2,173,6.18,12.64,12.3,0,1,0,34,0,602
24,Venkata brahmaiah naidu Gadireddy,C,Thunder Strikers Weekenders,15,14,46.1,200,24,7/ 3,0,159,4.33,8.33,11.5,0,0,0,33,0,584
25,Ankit Singh,A,Hudson Hurricanes Sultans,14,13,43.4,209,24,8/ 5,1,147,4.79,8.71,10.9,0,0,1,13,2,601
26,Varun Bhat,A,Secaucus Fighters,11,11,39.0,187,24,7/ 4,1,146,4.79,7.79,9.8,0,3,0,28,1,582
27,Krishna Kalakuntla,C,Telugu Titans - Weekenders,13,13,37.0,197,24,14/ 6,1,140,5.32,8.21,9.2,1,1,2,28,10,584
28,Madesh Swaminaidu,A,SB Vikings Cricket Club,13,13,45.0,254,24,6/ 4,2,152,5.64,10.58,11.2,0,1,0,17,4,595
29,Ram Prakash Kota,C,Edison Kings,13,14,44.4,281,24,27/ 4,0,147,6.29,11.71,11.2,0,1,0,39,0,551
30,Tamil R,A,SB Vikings Challengers Cricket Club,15,14,51.0,323,24,11/ 4,0,155,6.33,13.46,12.8,0,1,0,14,4,548
31,Nanje Gowda,D,Vikings CC,10,10,33.3,144,23,4/ 4,1,133,4.30,6.26,8.7,0,3,0,19,5,569
32,CK 12,A,Edison Super Kings,14,13,45.4,213,23,21/ 5,2,153,4.66,9.26,11.9,0,0,2,22,4,593
33,Sabeel Shaikh,B,Giant Slayers,13,13,35.3,180,23,17/ 4,0,127,5.07,7.83,9.3,0,1,0,15,1,545
34,Rohit Pradhan,A,Hudson Hurricanes Sultans,14,13,36.0,188,23,10/ 3,0,115,5.22,8.17,9.4,0,0,0,13,2,540
35,Hamza Shahid,D,MCC - Weekenders,14,13,49.4,264,23,10/ 4,0,178,5.32,11.48,13.0,0,1,0,25,4,537
36,Varun Shah,A,Edison Warriors,13,12,44.5,253,23,10/ 4,1,137,5.64,11.00,11.7,0,2,0,13,2,558
37,Srini Yandrapu,A,SB Vikings Challengers Cricket Club,15,15,51.0,302,23,25/ 4,1,172,5.92,13.13,13.3,0,1,0,23,2,553
38,Vraj Patel,D,BLOODLINE,12,12,44.1,263,23,7/ 6,2,144,5.95,11.43,11.5,0,1,1,23,1,567
39,Sherry Singh,C,Iselin Warriors,12,11,38.2,156,22,8/ 4,2,143,4.07,7.09,10.5,0,1,0,14,0,562
40,Shrivats Vyas,B,JC Warriors,10,10,39.1,171,22,8/ 3,6,153,4.37,7.77,10.7,0,0,0,12,5,616
41,Rakesh Kar,B,Monroe Mavericks,15,15,44.0,201,22,24/ 5,2,157,4.57,9.14,12.0,0,0,1,7,2,562
42,Surya Nallamilli,C,Telugu Titans - Weekenders,13,13,44.0,205,22,13/ 6,5,166,4.66,9.32,12.0,0,0,1,16,3,606
43,Darsh Ajmera,D,NJ Titans,15,14,49.5,233,22,19/ 4,1,187,4.68,10.59,13.6,0,1,0,15,0,553
44,Gaurang Rana,C,Saffron Sapphire,13,13,46.5,230,22,19/ 3,1,169,4.91,10.45,12.8,0,0,0,19,0,539
45,Raja Kondi,D,Jc Mavericks,13,13,48.0,237,22,26/ 5,2,164,4.94,10.77,13.1,0,0,1,22,5,551
46,Haridut Athi,C,Mystery Squad,15,14,36.4,191,22,11/ 4,1,120,5.21,8.68,10.0,0,2,0,6,0,528
47,Gurmeet Singh,A,GoldFinch Cricket Club,13,13,43.2,239,22,14/ 5,1,150,5.52,10.86,11.8,0,0,1,16,2,531
48,Harjeewan Singh,A,Robbinsville Jaguars,10,10,35.3,223,22,13/ 5,0,112,6.28,10.14,9.7,1,1,1,4,4,499
49,Praveen Mandya,C,Nj Warriors,15,15,46.5,305,22,17/ 4,0,157,6.51,13.86,12.8,0,1,0,25,6,496
50,Chandrasekhar A,A,Edison Riders,14,14,41.0,272,22,8/ 4,2,150,6.63,12.36,11.2,0,1,0,57,3,520
51,Lalit Joshi,C,Windsor Warriors,11,11,37.0,267,22,15/ 4,0,110,7.22,12.14,10.1,0,2,0,18,1,489
52,Nirav Pathak,D,NJ Titans,12,12,38.1,191,21,6/ 3,0,146,5.00,9.10,10.9,0,0,0,32,7,499
53,Faisal Mehmood,C,Raptors,11,11,38.0,213,21,11/ 4,1,136,5.61,10.14,10.9,0,1,0,28,2,501
54,Shubh Bhardwaj,D,Jersey City Dominators,11,11,39.3,225,21,15/ 4,0,146,5.70,10.71,11.3,0,1,0,13,2,485
55,Thirupathi Chella,C,JERSEY TIGERS,12,12,45.0,281,21,12/ 5,1,154,6.24,13.38,12.9,0,0,1,23,4,505
56,Harshad Patil,A,VRK Gladiators,12,12,27.3,175,21,24/ 5,0,97,6.36,8.33,7.9,0,1,1,19,0,487
57,Chandra Narayanaswamy,A,SB Vikings Challengers Cricket Club,14,13,41.1,273,21,21/ 4,1,130,6.63,13.00,11.8,0,1,0,35,6,482
58,Mukesh Pandey,C,Lincoln XI,13,13,47.1,316,21,22/ 5,1,134,6.70,15.05,13.5,0,0,1,14,2,490
59,Dhruvin Shah,B,Sinclair Lions,8,8,29.1,128,20,17/ 4,2,113,4.39,6.40,8.8,0,2,0,18,2,502
60,VIJAYANAND PONNADA,D,Plainsboro Panthers,10,10,34.5,181,20,5/ 4,2,114,5.20,9.05,10.4,0,2,0,10,1,509
61,Neel Patel-13,D,Shreeji XI,14,13,40.0,210,20,7/ 4,4,159,5.25,10.50,12.0,1,2,0,11,7,536
62,Zubin Shah,A,Karma XI,9,8,31.5,168,20,25/ 4,1,113,5.28,8.40,9.6,0,1,0,4,4,479
63,Rajesh Kumar,A,Phoenix Flyers,13,13,39.0,206,20,23/ 4,1,128,5.28,10.30,11.7,1,1,0,17,11,486
64,Shivananda Bashetter,B,Express Rangers,13,10,30.4,162,20,13/ 4,0,102,5.28,8.10,9.2,0,2,0,22,1,463
65,Sudhanshoo Vashisht,C,Mystery Squad,12,12,41.2,222,20,9/ 3,4,156,5.37,11.10,12.4,0,0,0,21,5,533
