season,batter,team,avg_pos,matches,innings,runs,mean_rpi,median_rpi,sr,death_sr
2012,Gurkeerat Singh,Kings XI Punjab,6.759,4,4,86,21.5,24.5,165.3846,225.0
2012,Harpreet Singh,Pune Warriors,7.0,1,1,6,6.0,6.0,100.0,100.0
2012,IK Pathan,Delhi Daredevils,5.579,12,12,176,14.6667,10.0,139.6825,155.9322
2012,IR Jaggi,Deccan Chargers,5.045,3,3,15,5.0,3.0,71.4286,92.8571
2012,J Botha,Rajasthan Royals,6.2,7,7,58,8.2857,7.0,107.4074,126.3158
2012,J Syed Mohammad,Royal Challengers Bangalore,7.0,1,1,4,4.0,4.0,400.0,400.0
2012,JA Morkel,Chennai Super Kings,6.479,12,12,107,8.9167,5.5,157.3529,178.4314
2012,JP Duminy,Deccan Chargers,4.523,9,9,244,27.1111,24.0,128.4211,176.5957
2012,KA Pollard,Mumbai Indians,6.018,11,11,220,20.0,16.0,138.3648,143.662
2012,KD Karthik,Mumbai Indians,4.235,14,14,238,17.0,13.5,111.7371,121.4286
2012,KK Cooper,Rajasthan Royals,6.85,4,4,38,9.5,9.5,190.0,190.0
2012,LR Shukla,Kolkata Knight Riders,6.754,7,7,75,10.7143,8.0,131.5789,129.0323
2012,LRPL Taylor,Delhi Daredevils,4.627,12,12,197,16.4167,12.5,115.2047,141.6667
2012,M Kaif,Royal Challengers Bangalore,6.0,1,1,14,14.0,14.0,87.5,50.0
2012,M Manhas,Pune Warriors,6.253,7,7,120,17.1429,11.0,125.0,150.0
2012,MK Tiwary,Kolkata Knight Riders,4.382,15,15,260,17.3333,12.0,105.6911,123.6111
2012,MN Samuels,Pune Warriors,3.96,8,8,124,15.5,6.0,100.813,147.0588
2012,MS Dhoni,Chennai Super Kings,4.717,17,17,358,21.0588,23.0,128.777,155.9441
2012,MS Gony,Deccan Chargers,7.0,1,1,4,4.0,4.0,50.0,
2012,NLTC Perera,Mumbai Indians,7.0,2,2,4,2.0,2.0,44.4444,50.0
2012,NV Ojha,Delhi Daredevils,3.896,16,16,255,15.9375,11.0,113.8393,130.2326
2012,OA Shah,Rajasthan Royals,4.175,13,13,340,26.1538,23.0,132.8125,172.043
2012,P Dogra,Kings XI Punjab,5.76,3,3,15,5.0,6.0,62.5,78.5714
2012,P Negi,Delhi Daredevils,6.633,4,4,36,9.0,8.0,124.1379,144.4444
2012,PP Chawla,Kings XI Punjab,6.943,12,12,106,8.8333,8.5,120.4545,130.0
2012,RA Jadeja,Chennai Super Kings,5.569,14,14,191,13.6429,9.0,126.4901,134.375
2012,RJ Peterson,Mumbai Indians,5.906,5,5,32,6.4,2.0,106.6667,118.75
2012,RR Bhatkal,Royal Challengers Bangalore,6.0,1,1,0,0.0,0.0,0.0,0.0
2012,SA Yadav,Mumbai Indians,6.0,1,1,0,0.0,0.0,0.0,
2012,SD Chitnis,Kings XI Punjab,5.375,4,4,66,16.5,11.0,106.4516,100.0
2012,SP Goswami,Rajasthan Royals,4.841,6,6,69,11.5,10.5,102.9851,130.0
2012,SPD Smith,Pune Warriors,5.478,14,14,362,25.8571,24.5,135.5805,170.6897
2012,SS Tiwary,Royal Challengers Bangalore,4.543,11,11,191,17.3636,18.0,112.3529,159.5745
2012,STR Binny,Rajasthan Royals,4.657,6,6,90,15.0,13.5,134.3284,126.3158
2012,Shakib Al Hasan,Kolkata Knight Riders,4.818,7,7,91,13.0,11.0,122.973,133.3333
