season,batter,team,avg_pos,matches,innings,runs,mean_rpi,median_rpi,sr,death_sr
2021,Uthirasamy Sasidev,Chepauk Super Gillies,4.566,9,9,163,18.1111,18.0,108.6667,107.1429
2021,Wenseslaus Antony Dhas,Trichy Grand Cholas,5.165,7,7,109,15.5714,13.0,123.8636,148.2143
2022,Adithya Ganesh,Trichy Grand Cholas,4.32,5,5,103,20.6,15.0,105.102,131.0345
2022,Akash Sumra,Trichy Grand Cholas,6.0,1,1,1,1.0,1.0,14.2857,14.2857
2022,Andimani Ganga Pradeep,Dindigul Dragons,4.429,4,4,42,10.5,8.5,123.5294,133.3333
2022,Atheeq Ur Rahman,Trichy Grand Cholas,4.75,2,2,11,5.5,5.5,68.75,
2022,Baba Indrajith,Nellai Royal Kings,4.747,7,7,91,13.0,9.0,112.3457,169.2308
2022,CH Jitendra Kumar,Nellai Royal Kings,7.0,2,2,23,11.5,11.5,127.7778,131.25
2022,Daryl Sunder Ferrario,SKM Salem Spartans,4.159,7,7,144,20.5714,13.0,107.4627,129.4118
2022,Guruswamy Ajitesh,Nellai Royal Kings,5.75,5,5,129,25.8,17.0,243.3962,266.6667
2022,Jafar Jamal,SKM Salem Spartans,3.979,5,5,34,6.8,6.0,72.3404,33.3333
2022,Jagatheesan Kousik,Siechem Madurai Panthers,4.965,8,8,102,12.75,11.5,93.578,118.4211
2022,Karaparambil Satish Monish,Dindigul Dragons,6.833,4,4,54,13.5,10.5,145.9459,142.8571
2022,M Rooban Raj,Nellai Royal Kings,7.0,1,1,0,0.0,0.0,0.0,0.0
2022,MS Sanjay,Trichy Grand Cholas,7.0,1,1,4,4.0,4.0,50.0,50.0
2022,Maan K Bafna,IDream Tiruppur Tamizhans,4.576,7,7,182,26.0,26.0,107.0588,141.4634
2022,Masood Shahrukh Khan,Lyca Kovai Kings,5.62,8,8,187,23.375,20.5,164.0351,209.2593
2022,Mohan Abhinav,Lyca Kovai Kings,7.0,1,1,1,1.0,1.0,50.0,50.0
2022,Muhammed Adnan Khan,Trichy Grand Cholas,5.458,2,2,23,11.5,11.5,95.8333,66.6667
2022,Murugan Ashwin,SKM Salem Spartans,5.581,7,7,93,13.2857,11.0,108.1395,116.6667
2022,N Niranjan,Trichy Grand Cholas,4.25,2,2,28,14.0,14.0,87.5,
2022,N Sarangarajan Chaturved,Siechem Madurai Panthers,4.221,8,8,180,22.5,15.5,136.3636,135.2941
2022,N Selva Kumaran,Lyca Kovai Kings,7.0,1,1,0,0.0,0.0,0.0,
2022,P Francis Rokins,IDream Tiruppur Tamizhans,4.928,4,4,55,13.75,15.0,68.75,125.0
2022,P Sugendhiran,Trichy Grand Cholas,6.0,1,1,1,1.0,1.0,25.0,0.0
2022,Poovathinga Shijit Chandran,Lyca Kovai Kings,4.026,6,6,76,12.6667,13.0,104.1096,220.0
2022,R Rajkumar,IDream Tiruppur Tamizhans,4.971,6,6,36,6.0,5.5,105.8824,115.7895
2022,RS Jaganath Sinivas,Chepauk Super Gillies,7.0,1,1,0,0.0,0.0,0.0,
2022,RS Mokit Hariharan,Dindigul Dragons,4.881,6,6,68,11.3333,7.0,113.3333,187.5
2022,Rajagopal Sathish,Chepauk Super Gillies,5.621,8,8,80,10.0,6.5,148.1481,183.3333
2022,Rajendran Vivek,Dindigul Dragons,5.784,6,6,107,17.8333,9.0,150.7042,225.0
2022,Ramsingh  Sanjay Yadav,Nellai Royal Kings,4.201,9,9,452,50.2222,55.0,186.7769,230.5556
2022,Ramsingh Sonu Yadav,Chepauk Super Gillies,4.583,6,6,107,17.8333,19.0,152.8571,166.6667
2022,Ravi Karthikeyan,SKM Salem Spartans,5.403,5,5,63,12.6,12.0,96.9231,100.0
2022,Ravisrinivasan Sai Kishore,Chepauk Super Gillies,4.495,5,5,111,22.2,19.0,124.7191,50.0
